UID,mean.annual.flow,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.ISC,tmax.annual,tmin.annual,pct.ag,pct.urb,pct.for
10995,,,,,,,,,,,,
10996,7931.2571,15780.901,2821.99,1221.1,3.766,2818.23,0.684,23.92,9.58,6.764,3.051,62.418
10997,10318.27454,27045.166,3872.87,1398.15,196.008,3676.86,0.38,21.42,5.74,7.949,1.897,48.055
10998,20210.89324,38656.88,3872.87,1306.88,7.916,3864.95,0.3,18.54,6.5,5.57,2.068,56.997
10999,1786.75046,4915.082,3970.13,1467.52,9.827,3960.3,1.146,23.8,9.17,6.375,3.486,37.12
11000,3600.62832,5787.757,2311.24,904.746,43.378,2267.86,0.1,19.94,6.71,0.26,2.995,53.661
11001,3942.73367,4977.109,3157.34,1294.41,8.361,3148.98,1.439,23.65,9.62,0.045,4.737,66.05
11002,6580.13135,22427.702,3872.87,1442.26,503.116,3369.75,0.42,19.28,3.9,8.859,1.633,44.979
11003,11.14463,6.208,302.641,118.559,18.147,284.493,0.268,16.79,6.36,0,4.768,58.783
11004,2.35898,79.316,1466.35,991.9,720.173,746.175,0.055,16.04,2.61,2.243,0.765,0.454
11005,2.47784,19.27,1643.22,1334.94,638.872,1004.34,0.039,18.95,2.74,0.504,0.388,29.525
11013,8.37464,23.822,1461.67,1255.95,1015.25,446.421,0.033,14.83,1.48,0,0,25.939
11014,454.9464,325.168,585.847,292.419,146.792,439.054,0.354,17.44,5.41,4.754,5.652,59.382
11016,5.65867,4.316,1706.44,1616.36,1471.95,234.49,0.594,11.72,1.44,0,3.545,80.73
11017,18.17669,6.377,943.821,694.45,441.821,502,0.037,14.53,4.64,0,0.635,79.665
11018,22.28089,2.837,2029.78,1674.6,1516.31,513.466,0.008,12.48,-0.14,0,0,88.071
11020,4126.6289,5637.641,2890.01,1045.54,300.873,2589.14,1.286,19.94,4.87,6.905,4.025,61.408
11021,3639.98308,1643.865,1767.33,756.185,120.826,1646.5,0.291,17.12,5.49,2.433,1.249,72.141
11022,,,,,,,,,,,,
11025,694.63203,838.578,1245.39,323.279,13.377,1232.01,0.43,16.94,6.14,1.778,5.771,79.418
11026,3513.40785,3225.215,2771.86,1072.73,171.884,2599.98,0.084,18.34,5.39,0.785,0.536,83.888
11027,6216.27475,5193.011,2652.73,869.404,117.738,2534.99,0.59,17.43,5.39,3.536,2.039,75.803
11031,1124.87765,702.524,1086.96,344.519,6.351,1080.61,0.519,15.28,6.24,1.284,5.966,57.016
11035,5.01556,4.407,1499.83,926.922,448.393,1051.43,0,16.91,4.12,0,0,89.123
11036,2589.511,1356.907,3185,1068.95,227.695,2957.31,0.143,16.26,5.11,0.485,1.068,79.671
11037,0,,,,,,0,17.23,6.23,,,
11039,7.50428,8.15,1313.17,966.901,589.11,724.063,0.049,17.76,3.83,0,0,84.892
11040,39.13876,212.931,2624.11,1886.47,1387.38,1236.73,0.262,11.75,-1.89,0,1.145,78.384
11041,11895.95821,8511.228,3144.66,870.114,85.031,3059.63,0.788,17.4,5.67,3.88,2.403,75.139
11042,4.02236,7.977,2587.88,2204.53,1853.57,734.315,0.216,9.18,-0.82,0,0,83.405
11044,12963.5313,13299.801,2890.01,889.703,5.273,2884.74,0.905,18.67,7.38,3.832,4.193,64.794
11045,4010.28858,2313.335,3144.66,1080.34,230.992,2913.67,0.05,16.62,4.51,0.052,0.614,84.136
11046,,,,,,,,,,,,
11047,8955.11915,9401.14,2771.86,749.465,42.621,2729.24,0.494,17.9,5.68,5.792,2.379,71.163
11051,3.0825,13.352,1533.37,1442.95,1306.93,226.441,0.116,12.34,-0.65,0,0,70.051
11053,3423.18029,1782.64,3185,970.492,123,3062,0.235,16.99,5.54,2.302,1.389,77.501
11079,5.97934,60.679,2191.87,1985.68,1842.11,349.761,1.098,17.85,0.63,39.022,4.936,19.435
11080,,,,,,,,,,,,
11081,18.95911,115.475,2757.31,2389.3,1987.2,770.113,0.11,14.96,-0.13,0.497,0,81.058
11082,,,,,,,,,,,,
11083,33.68926,112.028,2915.73,2525.51,1854.03,1061.7,0.196,15.92,0.16,0.563,1.109,83.649
11084,31.60732,185.877,2832.37,2225.08,1838.09,994.277,0.204,17.32,0.57,0.501,4.23,59.065
11085,11.29514,54.438,2829.64,2365.51,1959.18,870.458,0.102,16.78,-0.23,0,2.5,75.797
11086,640.14568,8403.959,4254.58,1865.34,1256.37,2998.21,0.166,21.12,3.18,1.127,0.582,22.361
11087,21.31274,92.827,2149.58,1728.07,1602.96,546.616,11.747,18.25,2.36,4.948,33.932,0.397
11088,45.02426,268.304,3292.86,2678.45,2193.64,1099.21,0.064,11.64,-3.14,0.828,0,84.391
11089,43.21511,270.804,2855.19,2182.36,1857,998.188,1.985,17.36,0.73,0.11,9.119,31.75
11090,4.45307,298.414,1319.51,1172.06,1067.8,251.709,0.096,20.61,3.31,28.093,1.072,0
11091,105.81578,912.727,2759.21,2166.25,1669.99,1089.22,0.202,16.48,0.3,0.467,0.31,70.303
11093,,,,,,,,,,,,
11094,4145.06919,19689.041,4359.83,2688.03,1430.66,2929.17,0.371,19.28,2.81,5.291,1.124,54.538
11095,8.80306,17.517,3979.88,3519.15,3119.1,860.777,0,8.04,-7.07,0,0,36.849
11096,304.23791,625.43,4342.73,2612.78,1507.6,2835.13,0.768,18.19,1.32,3.741,2.524,59.494
11097,56.67954,222.221,4180.67,3348.96,2837.27,1343.39,0.099,10.8,-6.17,0.051,0,47.855
11098,113.19149,835.805,3711.44,2868.15,2387.74,1323.7,0.172,14.65,-3.67,1.383,0.485,35.605
11099,66.20905,4592.686,1677.47,1388.84,1085.52,591.954,0.17,18.59,2.52,53.537,3.469,0.061
11100,5.09022,28.689,3974.99,3472.15,2970.05,1004.94,0.147,8.79,-6.05,0,0,47.599
11106,2.61755,4.764,267.958,181.909,139.662,128.297,0.897,19.47,7.77,24.082,9.428,65.695
11107,270.51896,1183.478,304.49,230.9,185.723,118.767,1.117,15.39,4.16,87.047,6.09,6.102
11108,,,,,,,,,,,,
11109,560.86195,2269.63,291.283,223.145,161.479,129.803,1.38,16.25,4.77,81.304,6.783,11.002
11114,4781.9085,21381.541,517.316,273.851,197.44,319.876,3.086,14.86,3.45,73.102,10.827,8.501
11117,3740.8023,11903.238,286.697,214.186,175.173,111.524,2.011,15.74,4.17,79.749,8.239,7.227
11118,245.23759,727.178,180.73,137.771,106.576,74.153,1.416,19.12,6.96,66.206,7.886,19.339
11119,798.13615,3458.02,359.235,261.123,222.185,137.05,6.944,14.17,2.98,45.542,24.563,15.111
11120,445.84032,1317.246,212.745,144.687,107.946,104.799,1.2,19.22,7.02,63.017,6.662,22.747
11121,3532.41877,13759.327,291.106,198.41,132.096,159.01,2.748,17.25,5.12,82.767,9.98,5.47
11123,5383.56976,23777.174,517.316,268.189,170.008,347.308,2.998,15.32,4.59,74.127,10.608,8.224
11124,1092.09312,4487.41,283.364,207.635,151.937,131.427,2.615,17.18,5.46,85.899,9.382,3.338
11125,457.44409,1803.778,380.405,285.158,223.961,156.444,1.73,14.33,2.73,75.349,7.288,11.769
11134,67.48932,120.119,976.218,509.48,216.912,759.305,0.387,12.4,-0.44,3.098,2.427,89.914
11135,67.69303,90.864,1011.09,481.273,328.052,683.042,0.663,10.56,-1.23,10.556,4.152,70.441
11136,8.3645,11.767,1112.66,657.834,352.545,760.118,0.173,11.25,-0.47,1.308,1.507,97.055
11137,0.72115,160.76,1150.62,582.143,252.928,897.69,0.209,12.43,-0.6,1.802,2.503,93.304
11138,3.68085,4.742,564.987,415.738,240.453,324.534,0.137,12.71,0.06,2.162,2.579,94.178
11139,3.88199,39.345,668.696,603.006,524.059,144.637,0.321,25.44,11.33,0.796,5.328,30.473
11140,11.85839,116.425,433.38,354.865,250.491,182.889,0.349,25.29,11.2,2.397,7.868,35.361
11144,5.64749,51.321,452.703,393.376,291.282,161.421,0.111,25.52,12.24,0,0.838,47.637
11145,23.92847,64.052,191.41,107.875,78.31,113.1,0.628,24.18,11.29,8.93,4.464,66.841
11146,54.15345,305.743,366.73,280.665,179.734,186.996,0.095,25.23,12.57,11.513,3.452,14.94
11151,11.15389,159.899,335.791,281.508,211.841,123.95,0.436,25.67,12.65,2.24,5.993,28.515
11153,0,,,,,,0,24.59,11.55,,,
